Ticker;Maturity;AdjstdQt;Data_Referencia
DI1J24;01/04/2024;82470.81;21/01/2021
DI1N24;01/07/2024;80854.26;21/01/2021
DI1V24;01/10/2024;79233.46;21/01/2021
DI1F25;02/01/2025;77698.53;21/01/2021
DI1J25;01/04/2025;76179.27;21/01/2021
DI1N25;01/07/2025;74832.88;21/01/2021
DI1V25;01/10/2025;73211.13;21/01/2021
DI1F26;02/01/2026;71751.83;21/01/2021
DI1N26;01/07/2026;68911.86;21/01/2021
DI1F27;04/01/2027;65982.17;21/01/2021
DI1F28;03/01/2028;60646.27;21/01/2021
DI1F29;02/01/2029;55626.06;21/01/2021
DI1F30;02/01/2030;50908.36;21/01/2021
DI1F31;02/01/2031;46503.4;21/01/2021
DI1F33;03/01/2033;39000.75;21/01/2021
DI1F35;02/01/2035;32751.98;21/01/2021
DI1F36;02/01/2036;30244.15;21/01/2021
DI1G21;01/02/2021;99955.15;22/01/2021
DI1H21;01/03/2021;99819.79;22/01/2021
DI1J21;01/04/2021;99639.73;22/01/2021
DI1K21;03/05/2021;99472.29;22/01/2021
DI1M21;01/06/2021;99259.92;22/01/2021
DI1N21;01/07/2021;99029.62;22/01/2021
DI1Q21;02/08/2021;98740.1;22/01/2021
DI1U21;01/09/2021;98415.83;22/01/2021
DI1V21;01/10/2021;98088.24;22/01/2021
DI1X21;01/11/2021;97742.83;22/01/2021
DI1Z21;01/12/2021;97373.39;22/01/2021
DI1F22;03/01/2022;96922.09;22/01/2021
DI1J22;01/04/2022;95572.98;22/01/2021
DI1N22;01/07/2022;94024.4;22/01/2021
DI1V22;03/10/2022;92320.8;22/01/2021
DI1F23;02/01/2023;90674.73;22/01/2021
DI1J23;03/04/2023;88943.31;22/01/2021
DI1N23;03/07/2023;87253.74;22/01/2021
DI1V23;02/10/2023;85501.38;22/01/2021
DI1F24;02/01/2024;83856.43;22/01/2021
DI1J24;01/04/2024;82196.42;22/01/2021
DI1N24;01/07/2024;80537.53;22/01/2021
DI1V24;01/10/2024;78844.16;22/01/2021
DI1F25;02/01/2025;77232.9;22/01/2021
DI1J25;01/04/2025;75667.76;22/01/2021
DI1N25;01/07/2025;74276.11;22/01/2021
DI1V25;01/10/2025;72605.47;22/01/2021
DI1F26;02/01/2026;71095.7;22/01/2021
DI1N26;01/07/2026;68161.29;22/01/2021
DI1F27;04/01/2027;65131.74;22/01/2021
DI1F28;03/01/2028;59733.92;22/01/2021
DI1F29;02/01/2029;54670.87;22/01/2021
DI1F30;02/01/2030;49946.38;22/01/2021
DI1F31;02/01/2031;45547.62;22/01/2021
DI1F33;03/01/2033;38038.69;22/01/2021
DI1F35;02/01/2035;31811.15;22/01/2021
DI1F36;02/01/2036;29313.63;22/01/2021
DI1G21;01/02/2021;99970.13;26/01/2021
DI1H21;01/03/2021;99834.11;26/01/2021
DI1J21;01/04/2021;99649.8;26/01/2021
DI1K21;03/05/2021;99475.43;26/01/2021
